construction_id,proficiency_band,domain_label,pattern_text,example_original,confidence
FCN-CXN-000100,A1,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),Eltoc chiucnahui āmoxtli,Eltoc chiucnahui āmoxtli.,0.95
FCN-CXN-000101,A2,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),Quezqui ezferaz tiquitta,¿Quezqui ezferaz tiquitta?,0.95
FCN-CXN-000102,A2,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),Niquitta mahtlactli ezferaz,Niquitta mahtlactli ezferaz.,0.95
FCN-CXN-000103,A2,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),Tlapōhualiztli mahtlactli huan cē cēmpohualli The names of the numbers -,"Tlapōhualiztli: mahtlactli huan cē — cēmpohualli (The names of the numbers, 11-20)",0.95
FCN-CXN-000104,A2,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),Huēyi tlapōhualiztli Big numbers,Huēyi tlapōhualiztli (Big numbers),0.95
FCN-CXN-000105,A2,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),ōmpōhualli fourty x,ōmpōhualli “fourty” (2 x 20),0.95
FCN-CXN-000106,A2,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),Xicnanquili tlahtlaniliztli Respond to these questions,Xicnanquili tlahtlaniliztli (Respond to these questions),0.95
FCN-CXN-000107,A2,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),Quēzqui xīhuitl ticpiya How old are you Quēzqui tlicolli nicpiya How many,¿Quēzqui xīhuitl ticpiya? How old are you? ¿Quēzqui tlicolli nicpiya? How many pencils/pens do I have? ¿Tlen īīxnēzca tlicolli? What color is the pencil/pen? ¿Quēzqui xōchitl quipiya? How many flowers does she have? ¿Tlen īīxnēzca xōchitl? What color is the flower?,0.7756000000000001
FCN-CXN-000108,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),Xōchipitzāhuatl Instrumental con El Tr o Colatl n del T o Laco,Xōchipitzāhuatl Instrumental con El Trío Colatlán del Tío Laco CC BY Annette Fradera,0.6375
FCN-CXN-000109,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),A Piyali Catalina tlen titequiti ta,"A: Piyali Catalina, ¿tlen titequiti ta?",0.7833
FCN-CXN-000110,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),B Nitlamachtia nāhuatl Huan ta,B: Nitlamachtia nāhuatl. ¿Huan ta?,0.95
FCN-CXN-000111,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),A Na nocca nimomachtihquetl Nimomachtia tlapōhualiztli,A: Na nocca nimomachtihquetl. Nimomachtia tlapōhualiztli.,0.95
FCN-CXN-000112,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),B Cualtitoc nocca mītzpolohua,"B: Cualtitoc, nocca mītzpolohua.",0.95
FCN-CXN-000113,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),B I teach Nahuatl And you,B: I teach Nahuatl. And you?,0.7833
FCN-CXN-000114,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),tlachpana to sweep tlachpānquetl one who sweeps tlachpanānih those who sweep,tlachpana (to sweep) → tlachpānquetl (one who sweeps) → tlachpanānih (those who sweep),0.8136
FCN-CXN-000115,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),nimomachtihquetl I am a student,nimomachtihquetl “I am a student”,0.65
FCN-CXN-000116,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),timomachtihquetl you are a student,timomachtihquetl “you are a student”,0.65
FCN-CXN-000117,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),momachtihquetl he she is a student,momachtihquetl “he/she is a student”,0.6167
FCN-CXN-000118,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),timomachtianih we are students,timomachtianih “we are students”,0.7
FCN-CXN-000119,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),inmomachtianih you all are students,inmomachtianih “you all are students”,0.65
FCN-CXN-000120,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),momachtianih they are students,momachtianih “they are students”,0.7
FCN-CXN-000121,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),nitlachpānquetl I am a street sweeper,nitlachpānquetl “I am a street sweeper”,0.7833
FCN-CXN-000122,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),titlachpānquetl you are a street sweeper,titlachpānquetl “you are a street sweeper”,0.7833
FCN-CXN-000123,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),tlachpānquetl he she is a street sweeper,tlachpānquetl “he/she is a street sweeper”,0.7357
FCN-CXN-000124,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),titlachpānanih we are street sweepers,titlachpānanih “we are street sweepers”,0.8500000000000001
FCN-CXN-000125,A2,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),intlachpānanih you all are street sweepers,intlachpānanih “you all are street sweepers”,0.7833
