rank,list_name,entry_id,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace,subgroup
51,function_words,kw::ne::1,safe,safe: core_everyday_domain,ne,ne,ne,ne,that,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ne::sense-1,0.95,identity,det
52,function_words,kw::ni::1,safe,safe: core_everyday_domain,ni,ni,ni,ni,this,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ni::sense-1,0.95,identity,det
53,function_words,kw::nochi::1,safe,safe: core_everyday_domain,nochi,nochi,nochi,nochi,all,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nochi::sense-1,0.95,identity,det
54,function_words,kw::nopa::1,safe,safe: core_everyday_domain,nopa,nopa,nopa,nopa,that,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nopa::sense-1,0.95,identity,det
55,function_words,kw::cequinoc::1,safe,safe: core_everyday_domain,cequinoc,cequinoc,sekinok,cequinoc,plural of ceyoc,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cequinoc::sense-1,0.95,qu > k before front vowel; soft c > s; hard c > k,det
56,function_words,kw::ceyoc::1,safe,safe: core_everyday_domain,ceyoc,ceyoc,seyok,ceyoc,other,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ceyoc::sense-1,0.95,soft c > s; hard c > k,det
57,function_words,kw::chicome::3,safe,safe: core_everyday_domain,chicome,chicome,chikome,chicome,seven,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chicome::sense-3,0.95,hard c > k,num
58,function_words,kw::chicuace::3,safe,safe: core_everyday_domain,chicuace,chicuace,chikuase,chicuace,six,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chicuace::sense-3,0.95,soft c > s; hard c > k,num
59,function_words,kw::chicueyi::2,safe,safe: core_everyday_domain,chicueyi,chicueyi,chikueyi,chicueyi,eight,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chicueyi::sense-2,0.95,hard c > k,num
60,function_words,kw::eyi::4,safe,safe: core_everyday_domain,eyi,eyi,eyi,eyi,three,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::eyi::sense-4,0.95,identity,num
61,function_words,kw::caxtolli::2,safe,safe: core_everyday_domain,caxtolli,caxtolli,kaxtolli,caxtolli,fifteen,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::caxtolli::sense-2,0.95,hard c > k,num
62,function_words,kw::macuilli::3,safe,safe: core_everyday_domain,macuilli,macuilli,makuilli,macuilli,five,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::macuilli::sense-3,0.95,hard c > k,num
63,function_words,kw::nahui::3,safe,safe: core_everyday_domain,nahui,nahui,nawi,nahui,four,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nahui::sense-3,0.95,hu> w before vowel,num
64,function_words,kw::ome::4,safe,safe: core_everyday_domain,ome,ome,ome,ome,two,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ome::sense-4,0.95,identity,num
65,function_words,kw::ce::3,safe,safe: core_everyday_domain,ce,ce,se,ce,one,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ce::sense-3,0.95,soft c > s,num
66,function_words,kw::ciento::1,safe,safe: core_everyday_domain,ciento,ciento,siento,ciento,hundred,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ciento::sense-1,0.95,soft c > s,num
67,function_words,kw::chicnahui::2,safe,safe: core_everyday_domain,chicnahui,chicnahui,chiknawi,chicnahui,nine,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,127,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chicnahui::sense-2,0.95,hu> w before vowel; hard c > k,num
68,function_words,kw::mahtlactli::3,safe,safe: core_everyday_domain,mahtlactli,mahtlactli,mahtlaktli,mahtlactli,ten,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,127,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::mahtlactli::sense-3,0.95,hard c > k,num
69,function_words,kw::axtle::1,safe,safe: core_everyday_domain,axtle,axtle,axtle,axtle,"no, negative response",,particle,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::axtle::sense-1,0.95,identity,particle
70,function_words,kw::quena::1,safe,safe: core_everyday_domain,quena,quena,kena,quena,"yes, positive response",,particle,social_interaction,EHN_colloquial,Eastern Huasteca Nahuatl,153,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quena::sense-1,0.95,qu > k before front vowel,particle
