rank,list_name,entry_id,attestation_status,phase7_status,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace
32,core_ehn_500,kw::nicani::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nicani,nicani,nikani,nicani,here,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nicani::sense-1,0.95,hard c > k
33,core_ehn_500,kw::nopano::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nopano,nopano,nopano,nopano,there,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nopano::sense-1,0.95,identity
34,core_ehn_500,kw::tlen::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlen,tlen,tlen,tlen,what,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlen::sense-2,0.95,identity
35,core_ehn_500,kw::yalhuaya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,yalhuaya,yalhuaya,yalwaya,yalhuaya,yesterday,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,141,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yalhuaya::sense-1,0.95,hu> w before vowel
36,core_ehn_500,kw::tlatzintla::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlatzintla,tlatzintla,tlatsintla,tlatzintla,"under, below",,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,140,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlatzintla::sense-1,0.95,z > s
37,core_ehn_500,kw::achi::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,achi,achi,achi,achi,a little,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::achi::sense-3,0.95,identity
38,core_ehn_500,kw::iaxca::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,iaxca,iaxca,iaxka,iaxca,"of him, her, it",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::iaxca::sense-2,0.95,hard c > k
39,core_ehn_500,kw::ihuaya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ihuaya,ihuaya,iwaya,ihuaya,"with him, her, it",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ihuaya::sense-1,0.95,hu> w before vowel
40,core_ehn_500,kw::moaxca::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,moaxca,moaxca,moaxka,moaxca,of you,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::moaxca::sense-1,0.95,hard c > k
41,core_ehn_500,kw::na::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,na,na,na,na,first person; I,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::na::sense-2,0.95,identity
42,core_ehn_500,kw::naha::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,naha,naha,naha,naha,first person; I,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::naha::sense-1,0.95,identity
43,core_ehn_500,kw::ne::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ne,ne,ne,ne,that,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ne::sense-1,0.95,identity
44,core_ehn_500,kw::ne::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ne,ne,ne,ne,that,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ne::sense-2,0.95,identity
45,core_ehn_500,kw::ni::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ni,ni,ni,ni,this,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ni::sense-1,0.95,identity
46,core_ehn_500,kw::ni::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ni,ni,ni,ni,this,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ni::sense-2,0.95,identity
47,core_ehn_500,kw::noaxca::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,noaxca,noaxca,noaxka,noaxca,of me,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::noaxca::sense-1,0.95,hard c > k
48,core_ehn_500,kw::nochi::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nochi,nochi,nochi,nochi,all,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nochi::sense-1,0.95,identity
49,core_ehn_500,kw::nopa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nopa,nopa,nopa,nopa,that,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nopa::sense-1,0.95,identity
50,core_ehn_500,kw::nopa::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nopa,nopa,nopa,nopa,that,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nopa::sense-2,0.95,identity
51,core_ehn_500,kw::para-tlen::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,para tlen,para tlen,para tlen,para tlen,why?,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::para tlen::sense-1,0.95,identity
52,core_ehn_500,kw::cequinoc::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,cequinoc,cequinoc,sekinok,cequinoc,plural of ceyoc,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cequinoc::sense-1,0.95,qu > k before front vowel; soft c > s; hard c > k
53,core_ehn_500,kw::ceyoc::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ceyoc,ceyoc,seyok,ceyoc,other,,det,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ceyoc::sense-1,0.95,soft c > s; hard c > k
54,core_ehn_500,kw::ta::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ta,ta,ta,ta,second person; you (singular),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ta::sense-2,0.95,identity
55,core_ehn_500,kw::taha::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,taha,taha,taha,taha,second person; you (singular),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::taha::sense-1,0.95,identity
56,core_ehn_500,kw::tohuanti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tohuanti,tohuanti,towanti,tohuanti,first person; we,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tohuanti::sense-1,0.95,hu> w before vowel
57,core_ehn_500,kw::ya::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ya,ya,ya,ya,"third person; he, she",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ya::sense-2,0.95,identity
58,core_ehn_500,kw::yaha::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,yaha,yaha,yaha,yaha,"third person; he, she",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yaha::sense-1,0.95,identity
59,core_ehn_500,kw::yahaya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,yahaya,yahaya,yahaya,yahaya,"third person; he, she",,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yahaya::sense-1,0.95,identity
60,core_ehn_500,kw::yahuanti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,yahuanti,yahuanti,yawanti,yahuanti,third person; they,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,138,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yahuanti::sense-1,0.95,hu> w before vowel
61,core_ehn_500,kw::amohuanti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,amohuanti,amohuanti,amowanti,amohuanti,second person; you (plural),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::amohuanti::sense-1,0.95,hu> w before vowel
62,core_ehn_500,kw::imohuanti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,imohuanti,imohuanti,imowanti,imohuanti,second person; you (plural),,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::imohuanti::sense-1,0.95,hu> w before vowel
63,core_ehn_500,kw::ininhuanti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ininhuanti,ininhuanti,ininwanti,ininhuanti,third person; they,,pron,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ininhuanti::sense-1,0.95,hu> w before vowel
64,core_ehn_500,kw::intla::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,intla,intla,intla,intla,if,,conj,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::intla::sense-1,0.95,identity
65,core_ehn_500,kw::pero::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,pero,pero,pero,pero,"but, rather",,conj,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::pero::sense-1,0.95,identity
66,core_ehn_500,kw::tlen::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlen,tlen,tlen,tlen,that,,conj,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlen::sense-3,0.95,identity
67,core_ehn_500,kw::huahca::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,huahca,huahca,wahka,huahca,then; at that time; next,,conj,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,135,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huahca::sense-1,0.95,hu> w before vowel; hard c > k
68,core_ehn_500,kw::ahsi::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ahsi,ahsi,ahsi,ahsi,to arrive,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ahsi::sense-2,0.95,identity
69,core_ehn_500,kw::aqui::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,aqui,aqui,aki,aqui,to be (negative),,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::aqui::sense-1,0.95,qu > k before front vowel
70,core_ehn_500,kw::eli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,eli,eli,eli,eli,to be,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::eli::sense-1,0.95,identity
71,core_ehn_500,kw::eltoc::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,eltoc,eltoc,eltok,eltoc,to be,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::eltoc::sense-1,0.95,hard c > k
72,core_ehn_500,kw::ehua::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ehua,ehua,ewa,ehua,to be from,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ehua::sense-3,0.95,hu> w before vowel
73,core_ehn_500,kw::hasta::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,hasta,hasta,hasta,hasta,until,,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::hasta::sense-1,0.95,identity
74,core_ehn_500,kw::ipan::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ipan,ipan,ipan,ipan,in,,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ipan::sense-3,0.95,identity
75,core_ehn_500,kw::itztoc::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,itztoc,itztoc,itstok,itztoc,to be,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::itztoc::sense-1,0.95,z > s; hard c > k
76,core_ehn_500,kw::camati::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,camati,camati,kamati,camati,to speak,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camati::sense-1,0.95,hard c > k
77,core_ehn_500,kw::queha::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,queha,queha,keha,queha,"like, as",,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::queha::sense-2,0.95,qu > k before front vowel
78,core_ehn_500,kw::quehatza::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quehatza,quehatza,kehatsa,quehatza,"like, as",,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quehatza::sense-2,0.95,qu > k before front vowel; z > s
79,core_ehn_500,kw::cochi::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,cochi,cochi,kochi,cochi,to sleep,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cochi::sense-3,0.95,hard c > k
80,core_ehn_500,kw::piya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,piya,piya,piya,piya,to have,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::piya::sense-1,0.95,identity
81,core_ehn_500,kw::huehcapa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,huehcapa,huehcapa,wehkapa,huehcapa,above,,prep,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huehcapa::sense-1,0.95,hu> w before vowel; hard c > k
82,core_ehn_500,kw::xolotl::4,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,xolotl,xolotl,xolotl,xolotl,to be afraid,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::xolotl::sense-4,0.95,identity
83,core_ehn_500,kw::yahua::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,yahua,yahua,yawa,yahua,to go,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,133,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yahua::sense-1,0.95,hu> w before vowel
84,core_ehn_500,kw::ax-quema::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ax quema,ax quema,ax kema,ax quema,never,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ax quema::sense-1,0.95,qu > k before front vowel
85,core_ehn_500,kw::eltoya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,eltoya,eltoya,eltoya,eltoya,very,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::eltoya::sense-1,0.95,identity
86,core_ehn_500,kw::ihquino::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ihquino,ihquino,ihkino,ihquino,thus,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ihquino::sense-1,0.95,qu > k before front vowel
87,core_ehn_500,kw::ica::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ica,ica,ika,ica,with,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ica::sense-1,0.95,hard c > k
88,core_ehn_500,kw::queha-ni::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,queha ni,queha ni,keha ni,queha ni,like this,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::queha ni::sense-1,0.95,qu > k before front vowel
89,core_ehn_500,kw::quema::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,quema,quema,kema,quema,when?,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::quema::sense-1,0.95,qu > k before front vowel
90,core_ehn_500,kw::cualca::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,cualca,cualca,kualka,cualca,early,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cualca::sense-1,0.95,hard c > k
91,core_ehn_500,kw::cualli::4,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,cualli,cualli,kualli,cualli,well,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cualli::sense-4,0.95,hard c > k
92,core_ehn_500,kw::miac::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,miac,miac,miak,miac,a lot,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::miac::sense-1,0.95,hard c > k
93,core_ehn_500,kw::nechca::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nechca,nechca,nechka,nechca,close to,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nechca::sense-1,0.95,hard c > k
94,core_ehn_500,kw::nel-a::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nelía,nelía,nelía,nelía,truly,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nelía::sense-1,0.95,identity
95,core_ehn_500,kw::noha::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,noha,noha,noha,noha,still,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::noha::sense-1,0.95,identity
96,core_ehn_500,kw::nohquiya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nohquiya,nohquiya,nohkiya,nohquiya,"moreover, furthermore",,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nohquiya::sense-1,0.95,qu > k before front vowel
97,core_ehn_500,kw::nohqu-a::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nohquía,nohquía,nohquía,nohquía,"also, as well",,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nohquía::sense-1,0.95,identity
98,core_ehn_500,kw::zampa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,zampa,zampa,sampa,zampa,again,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::zampa::sense-1,0.95,z > s
99,core_ehn_500,kw::zan::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,zan,zan,san,zan,Only; merely; just; but,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::zan::sense-2,0.95,z > s
100,core_ehn_500,kw::tlahuel::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlahuel,tlahuel,tlawel,tlahuel,very,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlahuel::sense-1,0.95,hu> w before vowel
101,core_ehn_500,kw::huehca::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,huehca,huehca,wehka,huehca,"far away, distant",,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huehca::sense-1,0.95,hu> w before vowel; hard c > k
102,core_ehn_500,kw::yeca::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,yeca,yeca,yeka,yeca,then,,adv,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,131,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::yeca::sense-1,0.95,hard c > k
103,core_ehn_500,kw::atli::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,atli,atli,atli,atli,to drink water,,verb,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::atli::sense-2,0.95,identity
104,core_ehn_500,kw::chicome::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,chicome,chicome,chikome,chicome,seven,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chicome::sense-3,0.95,hard c > k
105,core_ehn_500,kw::chicuace::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,chicuace,chicuace,chikuase,chicuace,six,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chicuace::sense-3,0.95,soft c > s; hard c > k
106,core_ehn_500,kw::chicueyi::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,chicueyi,chicueyi,chikueyi,chicueyi,eight,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chicueyi::sense-2,0.95,hard c > k
107,core_ehn_500,kw::eyi::4,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,eyi,eyi,eyi,eyi,three,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::eyi::sense-4,0.95,identity
108,core_ehn_500,kw::camanalohua::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,camanalohua,camanalohua,kamanalowa,camanalohua,to speak,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camanalohua::sense-1,0.95,hu> w before vowel; hard c > k
109,core_ehn_500,kw::caxtolli::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,caxtolli,caxtolli,kaxtolli,caxtolli,fifteen,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::caxtolli::sense-2,0.95,hard c > k
110,core_ehn_500,kw::macuilli::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,macuilli,macuilli,makuilli,macuilli,five,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::macuilli::sense-3,0.95,hard c > k
111,core_ehn_500,kw::mitoniya::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,mitoniya,mitoniya,mitoniya,mitoniya,to sweat,,verb,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::mitoniya::sense-1,0.95,identity
112,core_ehn_500,kw::mococohua::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,mococohua,mococohua,mokokowa,mococohua,to be sick,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::mococohua::sense-1,0.95,hu> w before vowel; hard c > k
113,core_ehn_500,kw::nahui::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,nahui,nahui,nawi,nahui,four,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nahui::sense-3,0.95,hu> w before vowel
114,core_ehn_500,kw::ome::4,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ome,ome,ome,ome,two,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ome::sense-4,0.95,identity
115,core_ehn_500,kw::ce::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ce,ce,se,ce,one,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ce::sense-3,0.95,soft c > s
116,core_ehn_500,kw::ciento::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,ciento,ciento,siento,ciento,hundred,,num,function_word,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ciento::sense-1,0.95,soft c > s
117,core_ehn_500,kw::tlahcuilohua::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlahcuilohua,tlahcuilohua,tlahkuilowa,tlahcuilohua,to write,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlahcuilohua::sense-1,0.95,hu> w before vowel; hard c > k
118,core_ehn_500,kw::tlahtohua::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlahtohua,tlahtohua,tlahtowa,tlahtohua,"to speak, talk",,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlahtohua::sense-1,0.95,hu> w before vowel
