rank,list_name,entry_id,attestation_status,phase7_status,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace
229,core_ehn_500,kw::chilcaxitl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,chilcaxitl,chilcaxitl,chilkaxitl,chilcaxitl,"Molcajete, a traditional Mexican stone tool, equivalent in function to a mortar and pestle, used for grinding food",,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,107,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chilcaxitl::sense-1,0.95,hard c > k
230,core_ehn_500,kw::chocolatl::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,chocolatl,chocolatl,chokolatl,chocolatl,chocolate,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,107,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chocolatl::sense-3,0.95,hard c > k
231,core_ehn_500,kw::lalaxcuahuitl::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,lalaxcuahuitl,lalaxcuahuitl,lalaxkuawitl,lalaxcuahuitl,orange tree,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,107,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::lalaxcuahuitl::sense-2,0.95,hu> w before vowel; hard c > k
232,core_ehn_500,kw::michtlacualli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,michtlacualli,michtlacualli,michtlakualli,michtlacualli,fish (food),,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,107,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::michtlacualli::sense-1,0.95,hard c > k
233,core_ehn_500,kw::tlacualiztli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlacualiztli,tlacualiztli,tlakualistli,tlacualiztli,food,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,107,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlacualiztli::sense-1,0.95,z > s; hard c > k
234,core_ehn_500,kw::tlacualli::3,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlacualli,tlacualli,tlakualli,tlacualli,food,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,107,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlacualli::sense-3,0.95,hard c > k
235,core_ehn_500,kw::tlaxcalli::4,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlaxcalli,tlaxcalli,tlaxkalli,tlaxcalli,tortilla,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,107,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlaxcalli::sense-4,0.95,hard c > k
236,core_ehn_500,kw::huehuecafentzontli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,huehuecafentzontli,huehuecafentzontli,wewekafentsontli,huehuecafentzontli,an old coffee tree,,noun,food_water,EHN_colloquial,Eastern Huasteca Nahuatl,107,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huehuecafentzontli::sense-1,0.95,hu> w before vowel; z > s; hard c > k
237,core_ehn_500,kw::altepetl::5,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,altepetl,altepetl,altepetl,altepetl,"altepetl, city, town",,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,106,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::altepetl::sense-5,0.95,identity
238,core_ehn_500,kw::icha::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,icha,icha,icha,icha,"his, her, its home",,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,106,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::icha::sense-1,0.95,identity
