rank,list_name,entry_id,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace
33,social_interaction,kw::camanalohua::1,safe,safe: core_everyday_domain,camanalohua,camanalohua,kamanalowa,camanalohua,to speak,,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camanalohua::sense-1,0.95,hu> w before vowel; hard c > k
34,social_interaction,kw::tlahtohua::1,safe,safe: core_everyday_domain,tlahtohua,tlahtohua,tlahtowa,tlahtohua,"to speak, talk",,verb,verb_action,EHN_colloquial,Eastern Huasteca Nahuatl,130,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlahtohua::sense-1,0.95,hu> w before vowel
35,social_interaction,kw::conepiya::1,safe,safe: core_everyday_domain,conepiya,conepiya,konepiya,conepiya,to have a child,,verb,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,128,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::conepiya::sense-1,0.95,hard c > k
36,social_interaction,kw::amigo::1,safe,safe: core_everyday_domain,amigo,amigo,amigo,amigo,friend,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,118,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::amigo::sense-1,0.95,identity
37,social_interaction,kw::siwatl::1,safe,safe: core_everyday_domain,siwatl,siwatl,siwatl,siwatl,woman,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,118,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::siwatl::sense-1,0.95,identity
38,social_interaction,kw::tlacatl::6,safe,safe: core_everyday_domain,tlacatl,tlacatl,tlakatl,tlacatl,man,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,118,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlacatl::sense-6,0.95,hard c > k
39,social_interaction,kw::huampo::1,safe,safe: core_everyday_domain,huampo,huampo,wampo,huampo,friend,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,118,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huampo::sense-1,0.95,hu> w before vowel
40,social_interaction,kw::ichpocatl::1,safe,safe: core_everyday_domain,ichpocatl,ichpocatl,ichpokatl,ichpocatl,young woman,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ichpocatl::sense-1,0.95,hard c > k
41,social_interaction,kw::camanalohquetl::1,safe,safe: core_everyday_domain,camanalohquetl,camanalohquetl,kamanalohketl,camanalohquetl,speaker,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camanalohquetl::sense-1,0.95,qu > k before front vowel; hard c > k
42,social_interaction,kw::kamanaltiketl::1,safe,safe: core_everyday_domain,kamanaltiketl,kamanaltiketl,kamanaltiketl,kamanaltiketl,speaker,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::kamanaltiketl::sense-1,0.95,identity
43,social_interaction,kw::oquichtli::5,safe,safe: core_everyday_domain,oquichtli,oquichtli,okichtli,oquichtli,man,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::oquichtli::sense-5,0.95,qu > k before front vowel
44,social_interaction,kw::pilconetzi::1,safe,safe: core_everyday_domain,pilconetzi,pilconetzi,pilkonetsi,pilconetzi,child,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::pilconetzi::sense-1,0.95,z > s; hard c > k
45,social_interaction,kw::telpokatl::1,safe,safe: core_everyday_domain,telpokatl,telpokatl,telpokatl,telpokatl,"young person, young man",,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::telpokatl::sense-1,0.95,identity
46,social_interaction,kw::huehuentzi::2,safe,safe: core_everyday_domain,huehuentzi,huehuentzi,wewentsi,huehuentzi,old man,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,115,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::huehuentzi::sense-2,0.95,hu> w before vowel; z > s
47,social_interaction,kw::acahya::1,safe,safe: core_everyday_domain,acahya,acahya,akahya,acahya,companion,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,108,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::acahya::sense-1,0.95,hard c > k
48,social_interaction,kw::inana::1,safe,safe: core_everyday_domain,inana,inana,inana,inana,"his, her, its mother",,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,108,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::inana::sense-1,0.95,identity
49,social_interaction,kw::itata::1,safe,safe: core_everyday_domain,itata,itata,itata,itata,"his, her, its father",,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,108,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::itata::sense-1,0.95,identity
50,social_interaction,kw::konetl::1,safe,safe: core_everyday_domain,konetl,konetl,konetl,konetl,son,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,108,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::konetl::sense-1,0.95,identity
51,social_interaction,kw::mexikatl::2,safe,safe: core_everyday_domain,mexikatl,mexikatl,mexikatl,mexikatl,"Mexican, Nahuan people",,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,108,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::mexikatl::sense-2,0.95,identity
52,social_interaction,kw::sehco::1,safe,safe: core_everyday_domain,sehco,sehco,sehko,sehco,people,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,108,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::sehco::sense-1,0.95,hard c > k
53,social_interaction,kw::achtihuiehquetl::1,safe,safe: core_everyday_domain,achtihuiehquetl,achtihuiehquetl,achtiwiehketl,achtihuiehquetl,The oldest son or daughter,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,105,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::achtihuiehquetl::sense-1,0.95,hu> w before vowel; qu > k before front vowel
54,social_interaction,kw::hueyinana::1,safe,safe: core_everyday_domain,hueyinana,hueyinana,weyinana,hueyinana,grandmother,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,105,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::hueyinana::sense-1,0.95,hu> w before vowel
55,social_interaction,kw::hueyitata::1,safe,safe: core_everyday_domain,hueyitata,hueyitata,weyitata,hueyitata,grandfather,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,105,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::hueyitata::sense-1,0.95,hu> w before vowel
56,social_interaction,kw::cualtitoc::1,safe,safe: general_everyday_candidate,cualtitoc,cualtitoc,kualtitok,cualtitoc,"fine, ok",,intj,general,EHN_colloquial,Eastern Huasteca Nahuatl,104,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cualtitoc::sense-1,0.95,hard c > k
