entry_id,headword,part_of_speech,variety,gloss_en,editorial_status,notes_internal
SM::005973,ICXI,unknown,Classical Nahuatl,,Flagged,definition_fr=TOMONI. Voy. Tomont. | ocr_damage_suspected=True | duplicate_candidate_key=icxi|unknown|classical nahuatl|
SM::005978,ICXI,unknown,Classical Nahuatl,,Flagged,definition_fr=TOTOMONI. Voy. Toromont. | ocr_damage_suspected=True | duplicate_candidate_key=icxi|unknown|classical nahuatl|
SM::022700,IMPRIMENIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE. pris, rempli de certains objets; itech tlaonoc, débiteur. | R. onoc. | roots=onoc | duplicate_candidate_key=imprimenie|unknown|classical nahuatl|"
SM::024508,IMPRIMENIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATICNALE. fondu. * tlatleatililli vidrio, mortier, mélange de chaux, de sable et de verre pilé. RR. tleil, ati. | roots=tleil; ati | duplicate_candidate_key=imprimenie|unknown|classical nahuatl|"
SM::025569,IMPRIMENIE,unknown,Classical Nahuatl,,Flagged,definition_fr=NATIONALE | duplicate_candidate_key=imprimenie|unknown|classical nahuatl|
SM::000004,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE, | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::020266,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE. vaillé, labouré; çan nen tlachuhth, futile, inutile; oc- can icac ic tlachiuhth, fait de deux façons; excan icac ic tlachiuhtli, fait de trois façons. R. chiua. | roots=chiua | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::020589,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,definition_fr=NATIONALE. Ÿ 5€ - k | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|
SM::021339,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,definition_fr=NATIONALE. | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|
SM::021647,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,definition_fr=NATIONALE. nitla — | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|
SM::022362,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE: par le milieu, en parlant d’un objet quelconque. R. nepantlatequi. | roots=nepantlatequi | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::023058,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,definition_fr=NATIONALE. | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|
SM::023416,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE, | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::023778,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE ranger une chose; teca tlatetecaliztli, action d’écarter ou de préparer une chose pour quelqu'un. R. teteca. | roots=teteca | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::024832,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE, | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::025214,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE. de sorte que je ne mettrai pas la discorde, la désu- nion. R. tlauelcur. | roots=tlauelcur | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::025928,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE sur les bords des rivières où il se nourrit de poisson (Hern., Sah.). RR. till, coatl. | roots=till; coatl | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::026220,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE, | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::026552,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE. chante; itozqui, sa voix; qualli itozqui, bon chant, belle voix; totozqui, notre voix, la voix en général; totozqui mo-namiqui, p. olotozqui mo-namic, avoir une esquinancie. | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::027206,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE, | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::027514,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE, de soi; quelquefois on répète l'indéfini tla : nitetlatla- uetzquitia, je dis des bouffonneries. R. uetzca. | roots=uetzca | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::027825,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE. l'honneur de la déesse du sel (Sah.). RR. Uixtociuatl, petlagotl. | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::028520,IMPRIMERIE,unknown,Classical Nahuatl,,Flagged,"definition_fr=NATIONALE, | duplicate_candidate_key=imprimerie|unknown|classical nahuatl|"
SM::006428,IN,unknown,Classical Nahuatl,,Flagged,"definition_fr=ou 1M, art. Le, la, les, etc.; in calli, la maison; in tlamachtilme, les disciples; im mexth, la lune; etc. Pronom relatif: celui qui, celle qui, ceux qui, etc. ; in tlaqua, celui ou ceux qui mangent; in amo notz- .tlani ou notzallani, celui qui ne veut pas être cor- rigé. [x est souvent explétif; ainsi on dit indifférem- ment : notatzin où in notatzin, mon père; leca uel ca noyollo où in noyollo, être attaché à quelqu'un, lui vouloir du bien, elc.; mais il est inséparable des pron. p. & et an usités comme vocatifs : in titlatla- coan, à pêcheur; in antlatlacoanime, 8 pêcheurs; devant un interrogatif, comme aquin? cuix? ic? iquin ? tlein? etc., in fait disparaitre l'interrogation : aquin nech-not:a? (Par.), qui m'appelle? in aquin nech-notza, celui qui m'appelle; iquin uallaz motatzin? quand viendra ton père? in iquin t-iaz, lorsque tu partiras. | duplicate_candidate_key=in|unknown|classical nahuatl|"
SM::006431,IN,unknown,Classical Nahuatl,,Flagged,"definition_fr=con]. Lorsque; in oacico, quand il arriva; in oontemachtiloc, lorsqu'on eut prêché, enseigné; in oontlaqualoc, quand on eut mangé, après avoir mangé; in otlaimmantic, quand le temps voulu est arrivé; in aoctle, quand il n'y a plus rien, lorsque tout manque; # 0, in o achto, in o achtopa où in o atto, dès que, aussilôt que, après que. | duplicate_candidate_key=in|unknown|classical nahuatl|"
SM::006433,IN,unknown,Classical Nahuatl,,Flagged,definition_fr=AYA. Poy. Aya. | duplicate_candidate_key=in|unknown|classical nahuatl|
SM::006452,IN,unknown,Classical Nahuatl,,Flagged,definition_fr=OQUIC. Voy. Oquic. | duplicate_candidate_key=in|unknown|classical nahuatl|
SM::007641,IXTECAPANIA,unknown,Classical Nahuatl,,Flagged,definition_fr=: nite — souflleter quelqu'un. | duplicate_candidate_key=ixtecapania|unknown|classical nahuatl|
SM::007643,IXTECAPANIA,unknown,Classical Nahuatl,,Flagged,"definition_fr=p. OIXTECAPANI : nie — souflleter quelqu'un. RR. ixtli, capania. | roots=ixtli; capania | duplicate_candidate_key=ixtecapania|unknown|classical nahuatl|"
SM::006240,IYE,adverb,Classical Nahuatl,,Flagged,"definition_fr=Oui, si. Rév. iyetzin. | duplicate_candidate_key=iye|adverb|classical nahuatl|"
SM::006241,IYE,adverb,Classical Nahuatl,,Flagged,"definition_fr=lye yuh, il y a, après, d'ici à; iye yuh yexiuitl, après trois ans, il y a trois ans; iye yuh om- poalli, après quarante jours; iye ompa t-itztiui, à l'ave- mir; litt. d'ici là où nous serons. | duplicate_candidate_key=iye|adverb|classical nahuatl|"
SM::007931,IZQUI,adjective,Classical Nahuatl,,Flagged,"definition_fr=Actif, diligent. | duplicate_candidate_key=izqui|adjective|classical nahuatl|"
SM::007932,IZQUI,adjective,Classical Nahuatl,,Flagged,"definition_fr=Tant, tout; wel izqui, tout à fait tout (estan 6 son justos y cabales); izqui campa, de tous côtés; izqui in quezqui, autant que. Plur. izquintin : oc no izquintin, autant de personnes (hommes ou femmes); izquintin in quezquintin, tous tant que; can no izquintin, autant. Avec la postp. pa : izquipa, tant de fois; izquipa in quezquipa, autant de fois que; in izquipa, toutes les fois que; in izquipa otimo-tlapololti, toutes les fois que tu l'es troublé. | duplicate_candidate_key=izqui|adjective|classical nahuatl|"
SM::015389,KR,unknown,Classical Nahuatl,,Flagged,definition_fr=coconauia. | duplicate_candidate_key=kr|unknown|classical nahuatl|
SM::026084,KR,unknown,Classical Nahuatl,,Flagged,definition_fr=toçoa. | duplicate_candidate_key=kr|unknown|classical nahuatl|
SM::001695,LA,unknown,Classical Nahuatl,,Flagged,definition_fr=DICTIONNAIRE DE LA LANGUE NAHUATL. | ocr_damage_suspected=True | duplicate_candidate_key=la|unknown|classical nahuatl|
SM::020244,LA,unknown,Classical Nahuatl,,Flagged,definition_fr=LANGUE NAHUATL. 513 | ocr_damage_suspected=True | duplicate_candidate_key=la|unknown|classical nahuatl|
SM::010001,LIANT,noun (verbal/derived),Classical Nahuatl,,Flagged,"definition_fr=Celui qui joue avec des roses, en les jetant en lair et en les rattrapant. R. xoxochilaxilia. | roots=xoxochilaxilia | duplicate_candidate_key=liant|noun verbalderived|classical nahuatl|"
SM::018663,LIANT,noun (verbal/derived),Classical Nahuatl,,Flagged,"definition_fr=Solliciteur, importun. R. ilanilia. | roots=ilanilia | duplicate_candidate_key=liant|noun verbalderived|classical nahuatl|"
SM::009514,LIQUI,adjective (verbal/derived),Classical Nahuatl,,Flagged,"definition_fr=Qui est cher, qui a de la valeur, celui qui se fait prier, qui résiste. R. cuicwlia. | roots=cuicwlia | duplicate_candidate_key=liqui|adjective verbalderived|classical nahuatl|"
SM::009567,LIQUI,adjective (verbal/derived),Classical Nahuatl,,Flagged,"definition_fr=Consolé, content, satisfait. R. yollalia. | roots=yollalia | duplicate_candidate_key=liqui|adjective verbalderived|classical nahuatl|"
SM::018613,LIQUI,noun (verbal/derived),Classical Nahuatl,,Flagged,"definition_fr=Moqueur, railleur, mystificateur, qui se rit des autres. R. telchiuia. | roots=telchiuia | duplicate_candidate_key=liqui|noun verbalderived|classical nahuatl|"
SM::018691,LIQUI,noun (verbal/derived),Classical Nahuatl,,Flagged,"definition_fr=Celui qui dépouille quelqu'un, spolia- teur. R. tlailatlahha. | roots=tlailatlahha | duplicate_candidate_key=liqui|noun verbalderived|classical nahuatl|"
SM::023863,LIQUI,noun (verbal/derived),Classical Nahuatl,,Flagged,"definition_fr=Celui qui fait, établit les fondements. R. tetzontlaha. | roots=tetzontlaha | duplicate_candidate_key=liqui|noun verbalderived|classical nahuatl|"
SM::000003,LISTE,unknown,Classical Nahuatl,,Flagged,"definition_fr=DES AUTEURS CITÉS. Aub. — Aux (J.-M.-A.). Mémoire sur la peinture didactique et l'écriture figurative des anciens Mexicains. Paris, Paul Dupont, 1851, in-8°, vu-128 pages. Av — Avira (Francisco DE). Arte de la lengua mexicana, y breves platicas de los mysterios de N. Santa Fee Catho- lica, y otras para exortacion de su obligacion 4 los Indios... En Mexico, año de 1717, petit in-8°, x1-37 feuillets. B. Diaz. — Bérnaz Draz pez CasTirLo. Historia verdadera de la conquista de la Nueva-España, sacada à Luz por el P. M. Er. Alonso Remon, predicador y coronista general del érden de N. S. de la Merced. En Madrid, en la Im- prenta del Reyno, 1632, v-254 feuillets. Traduction par D. Jourdanet, Paris, Lahure, 1876, 2 vol. in-8° : t. [, xvi-692 pages; t. IF, 672 pages, avec une carte de la lagune de Mexico, lors du siège par Fernand Cortés, d’après l’édi- tion mexicaine de Clavijero; 250 ex. numérotés et réservés par le traducteur. 2° édition corrigée, précédée d’une préface nouvelle, accompagnée de notes el suivie d’une étude sur les sacrifices humains et l’anthropophagie chez les Aztèques, avec 5 cartes. Paris, G. Masson, éditeur, 1877, 1 vol. gr. in-8°, xxx11-952 pages. Bét. — Béraxcourt (Augustin DE). 1° Arte de lengua mexicana, dispuesto por érden y mandato de N.R®P.Fr. Francisco Treviño, Predicator theoloso, Padre de la santa provincia de Burgos, y Gomissario general de todas las de la Nueva-España, y por el Reverendo y Venerable Diffinitorio de la Provincia del Santo Evangelio, dedicado al bienaventurado S. Antonio de Padua, por el P. Fr. Augustin de Vetancurt, ete. En Mexico, por Francisco Rodriguez Lupercio, 1673, pelit in-4°, vi-49 feuillets. 2° Teatro mexicano, comprenant quatre parties. Mexico, 1697, in-fol. ”. Car. — Carocui (Horacio). Arte de la lengua mexicana con la declaracion de los adverbios della. AL illustriss® y Reveren- diss° señor Don Juan de Mañozca, Arçobispo de Mexico, del Consejo de su Magestad, ete. En Mexico, por Juan Ruyz, año de 1645, petit in-4°, vi-132 feuillets. Chim. — Cnimazpamin (Domingo Sant-Anton). Annales ou chroniques : 1°, 6°et 7° relations, mss. (Collection de M. Aubin.) | duplicate_candidate_key=liste|unknown|classical nahuatl|"
SM::000006,LISTE,unknown,Classical Nahuatl,,Flagged,"definition_fr=DES AUTEURS CITÉS. LXXY Par. — Pannes (Ignacio pe). Compendio del arte de la lengua mexicana del P.Horacio Carochi de la Compañia de Jesus, dis- puesto con brevedad, claridad y propriedad. . ... En Mexico, en la Imprenta de la Bibliotheca mexicana, en frente de S. Augustin. Año de 1759, petit in-4°, xxiv-209 pages. Per. — Perez (Manuel). Cathecismo romano traducido en castellano y mexicano. En Mexico, por Francisco de Rivera Cal- deron. Año de 1723, petit in-4°, xxvin-248 pages. Sah. — SaHAGun (Bernardino pe). Historia general de las cosas de Nueva España, etc., dala a luz con notas y supplementos Car- los Maria de Bustamante. .... Mexico, Alejandro Valdès, 1829-1830, 4 vol. petit in-A°. Traduction par D. Jourdanet et Rémi Siméon. Paris, Masson, éditeur, 1880, 1 vol. gr. in-8?, LXXIX-898 pages. Torq. — Torquemana (Juan De). Los veinte à un libros rituales i monarchia indiana, con el origen y guerras de los Indios Occi- dentales, de sus poblaciones, descubrimiento, conquista, conversion y otras cosas maravillosas de la mesma tierra. Madrid, N. Rodriguez Franco, 1723, 3 vol. in-fol vélin. adj. adj. d. adj. n. adj. poss. adj. v. adv. au fig. aug. cal. cap. compl. con). dim. en comp. fréq. b. nat. L’astérisque (*) devant un mot indique un emprunt fait à la langue espagnole. adjectif. adjectif démonstratif. adjectif numéral. adjectif possessif. adjectif verbal. adverbe. au figuré. augmentatif. calendrier. capitale. complément. conjonction. diminutif. en composition. fréquentatif. histoire naturelle. | duplicate_candidate_key=liste|unknown|classical nahuatl|"
SM::010506,LIZTLI,noun (verbal/derived),Classical Nahuatl,,Flagged,"definition_fr=Jeu avec des roses, des fleurs. R. cecen- telhuia. | roots=cecen | duplicate_candidate_key=liztli|noun verbalderived|classical nahuatl|"
SM::013664,LIZTLI,noun (verbal/derived),Classical Nahuatl,,Flagged,"definition_fr=Fureur, colère, emportement extrême. | duplicate_candidate_key=liztli|noun verbalderived|classical nahuatl|"
SM::016246,LIZTLI,noun (verbal/derived),Classical Nahuatl,,Flagged,"definition_fr=Supplice de la corde, action de pendre quelqu'un. RR. mecatl, patzca. | roots=mecatl; patzca | duplicate_candidate_key=liztli|noun verbalderived|classical nahuatl|"
