priority_id,headword,gloss_en,part_of_speech,first_lesson_number,lesson_frequency,occurrence_count,linked_entry_count,avg_confidence,lessons_json
FCN-VP-00100,human,,,24,3,3,0,0.4,"[24, 29, 32]"
FCN-VP-00101,unique,,,1,2,2,0,0.4,"[1, 21]"
FCN-VP-00102,teacher,,,2,2,2,0,0.4,"[2, 5]"
FCN-VP-00103,cānin,,,3,2,2,0,0.4,"[3, 24]"
FCN-VP-00104,cōmalli,,,3,2,2,0,0.4,"[3, 4]"
FCN-VP-00105,mācēhualmeh,,,3,2,2,0,0.4,"[3, 27]"
FCN-VP-00106,niēhua,,,3,2,2,0,0.4,"[3, 6]"
FCN-VP-00107,tepōztli,,,3,2,2,0,0.4,"[3, 22]"
FCN-VP-00108,ticchīhua,,,3,2,2,0,0.4,"[3, 11]"
FCN-VP-00109,ītecoh,,,3,2,2,0,0.4,"[3, 20]"
FCN-VP-00110,chicuacē,,,4,2,2,0,0.4,"[4, 7]"
FCN-VP-00111,ticāmati,,,4,2,2,0,0.4,"[4, 18]"
FCN-VP-00112,tlaxcalli,maize tortilla,noun,4,2,2,1,0.9,"[4, 7]"
FCN-VP-00113,tzictic,,,4,2,2,0,0.4,"[4, 10]"
FCN-VP-00114,xoxoctīc,,,4,2,2,0,0.4,"[4, 27]"
FCN-VP-00115,xōchitl,,,4,2,2,0,0.4,"[4, 10]"
FCN-VP-00116,ītōcah,,,4,2,2,0,0.4,"[4, 8]"
FCN-VP-00117,īīxnēzca,,,4,2,2,0,0.4,"[4, 10]"
FCN-VP-00118,momachtianih,,,5,2,2,0,0.4,"[5, 12]"
FCN-VP-00119,nāhuatl,,,5,2,2,0,0.4,"[5, 6]"
FCN-VP-00120,titequiti,,,5,2,2,0,0.4,"[5, 11]"
FCN-VP-00121,caltlamachtiloyan,,,6,2,2,0,0.4,"[6, 8]"
FCN-VP-00122,māltia,,,6,2,2,0,0.4,"[6, 30]"
FCN-VP-00123,nitequiti,,,6,2,2,0,0.4,"[6, 11]"
