entry_id,project_name,source_file,source_reference,lemma_display,ehn_spoken_form,msn_headword,msn_poetic_form,classical_citation_form,part_of_speech,register,register_suggestion,variety,gloss_en,gloss_es,root_family,source_confidence,speaker_validation_status,editorial_status,forms_json,etymology,parser,notes_internal,notes_public
kw::nenetl::3,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nenetl::sense-3,nenetl,,nenetl,,nenetl,noun,,Classical_citation,Classical Nahuatl,vulva,,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::nenetl::4,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nenetl::sense-4,nenetl,,nenetl,,,noun,,Needs_review,Central Nahuatl,vulva.,,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::nohpalli::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nohpalli::sense-1,nohpalli,,nohpalli,,nohpalli,noun,,Classical_citation,Classical Nahuatl,"prickly pear cactus, nopal",,,high,unreviewed,imported_raw,"[{""form"":""nopalli"",""tags"":[""alternative""],""variety"":""Classical Nahuatl""}]","From Proto-Uto-Aztecan *nohpal-lɨ, from Proto-Uto-Aztecan *noʼpal-ta.
Cognate with Cahuilla navet.",kaikki_unified,,
kw::nohpalli::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nohpalli::sense-2,nohpalli,,nohpalli,,,noun,,Needs_review,Central Nahuatl,Prickly pear cactus; nopal.,,,high,unreviewed,imported_raw,"[{""form"":""nojpal"",""tags"":[""alternative""],""variety"":""Central Nahuatl""}]","From Proto-Uto-Aztecan *nohpal-lɨ, from Proto-Uto-Aztecan *noʼpal-ta.
Cognate with Cahuilla navet.",kaikki_unified,,
kw::nopalli::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::nopalli::sense-1,nopalli,,nopalli,,nopalli,noun,,Classical_citation,Classical Nahuatl,alternative spelling of nohpalli,,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::ocuilin::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ocuilin::sense-1,ocuilin,,ocuilin,,ocuilin,noun,,Classical_citation,Classical Nahuatl,worm,,,high,unreviewed,imported_raw,"[{""form"":""ocuiltin"",""tags"":[""plural""],""variety"":""Classical Nahuatl""},{""form"":""ocuilli"",""tags"":[""alternative""],""variety"":""Classical Nahuatl""}]",,kaikki_unified,,
kw::ocuilin::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ocuilin::sense-2,ocuilin,,ocuilin,,,noun,,Needs_review,Central Nahuatl,worm,,,high,unreviewed,imported_raw,"[{""form"":""ocuiltin"",""tags"":[""plural""],""variety"":""Central Nahuatl""}]",,kaikki_unified,,
kw::omitl::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::omitl::sense-1,omitl,,omitl,,omitl,noun,,Classical_citation,Classical Nahuatl,Bone.,,,high,unreviewed,imported_raw,[],"From Proto-Nahuan *oomɨ-tl, from Proto-Uto-Aztecan *ohomï-ta.",kaikki_unified,,
kw::omitl::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::omitl::sense-2,omitl,,omitl,,,noun,,Needs_review,Central Nahuatl,bone.,,,high,unreviewed,imported_raw,[],"From Proto-Nahuan *oomɨ-tl, from Proto-Uto-Aztecan *ohomï-ta.",kaikki_unified,,
kw::omitl::3,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::omitl::sense-3,omitl,,omitl,,,noun,,Needs_review,Central Huasteca Nahuatl,bone.,,,high,unreviewed,imported_raw,[],"From Proto-Nahuan *oomɨ-tl, from Proto-Uto-Aztecan *ohomï-ta.",kaikki_unified,,
kw::omitl::4,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::omitl::sense-4,omitl,omitl,omitl,,,noun,,EHN_colloquial,Eastern Huasteca Nahuatl,bone.,,,high,unreviewed,imported_raw,[],"From Proto-Nahuan *oomɨ-tl, from Proto-Uto-Aztecan *ohomï-ta.",kaikki_unified,,
kw::ozomahtli::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ozomahtli::sense-1,ozomahtli,,ozomahtli,,ozomahtli,noun,,Classical_citation,Classical Nahuatl,monkey.,,,high,unreviewed,imported_raw,"[{""form"":""ozomahtin"",""tags"":[""plural""],""variety"":""Classical Nahuatl""}]",From Classical Nahuatl ozomahtli.,kaikki_unified,,
kw::ozomahtli::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ozomahtli::sense-2,ozomahtli,,ozomahtli,,ozomahtli,noun,,Classical_citation,Classical Nahuatl,"the eleventh day sign of the Aztec tōnalpōhualli, corresponding to this animal.",,,high,unreviewed,imported_raw,"[{""form"":""ozomahtin"",""tags"":[""plural""],""variety"":""Classical Nahuatl""}]",From Classical Nahuatl ozomahtli.,kaikki_unified,,
kw::ozomahtli::3,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ozomahtli::sense-3,ozomahtli,,ozomahtli,,,noun,,Needs_review,Central Nahuatl,monkey,,,high,unreviewed,imported_raw,[],From Classical Nahuatl ozomahtli.,kaikki_unified,,
kw::otztli::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::otztli::sense-1,otztli,,otztli,,otztli,noun,,Classical_citation,Classical Nahuatl,A pregnant woman.,,,high,unreviewed,imported_raw,"[{""form"":""ōtztli"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""},{""form"":""ōōtztin"",""tags"":[""plural""],""variety"":""Classical Nahuatl""}]","From Proto-Nahuan *ooȼ-tlɨ, from Proto-Uto-Aztecan *potta-ta (“pregnant, full”).",kaikki_unified,,
kw::olli::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::olli::sense-1,olli,,olli,,olli,noun,,Classical_citation,Classical Nahuatl,latex (sap of the rubber tree),,,high,unreviewed,imported_raw,"[{""form"":""ōlli"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""}]",,kaikki_unified,,
kw::papalotl::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::papalotl::sense-1,papalotl,,papalotl,,papalotl,noun,,Classical_citation,Classical Nahuatl,butterfly,,,high,unreviewed,imported_raw,"[{""form"":""pāpālōtl"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""},{""form"":""pāpalōmeh"",""tags"":[""plural""],""variety"":""Classical Nahuatl""},{""form"":""papalutl"",""tags"":[""alternative""],""variety"":""Classical Nahuatl""}]","Compare Morelos Nahuatl papalotl, Tetelcingo Nahuatl pöpölutl, Zacatlán-Ahuacatlán-Tepetzintla Nahuatl papalotl.",kaikki_unified,,
kw::papalotl::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::papalotl::sense-2,papalotl,,papalotl,,,noun,,Needs_review,Central Nahuatl,butterfly,,,high,unreviewed,imported_raw,[],"Compare Morelos Nahuatl papalotl, Tetelcingo Nahuatl pöpölutl, Zacatlán-Ahuacatlán-Tepetzintla Nahuatl papalotl.",kaikki_unified,,
kw::papalotl::3,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::papalotl::sense-3,papalotl,,papalotl,,,noun,,Needs_review,Central Nahuatl,comet,,,high,unreviewed,imported_raw,[],"Compare Morelos Nahuatl papalotl, Tetelcingo Nahuatl pöpölutl, Zacatlán-Ahuacatlán-Tepetzintla Nahuatl papalotl.",kaikki_unified,,
kw::papalotl::4,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::papalotl::sense-4,papalotl,,papalotl,,,noun,,Needs_review,Central Huasteca Nahuatl,butterfly.,,,high,unreviewed,imported_raw,[],"Compare Morelos Nahuatl papalotl, Tetelcingo Nahuatl pöpölutl, Zacatlán-Ahuacatlán-Tepetzintla Nahuatl papalotl.",kaikki_unified,,
kw::papalotl::5,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::papalotl::sense-5,papalotl,papalotl,papalotl,,,noun,,EHN_colloquial,Eastern Huasteca Nahuatl,butterfly.,,,high,unreviewed,imported_raw,[],"Compare Morelos Nahuatl papalotl, Tetelcingo Nahuatl pöpölutl, Zacatlán-Ahuacatlán-Tepetzintla Nahuatl papalotl.",kaikki_unified,,
kw::tecpatl::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tecpatl::sense-1,tecpatl,,tecpatl,,tecpatl,noun,,Classical_citation,Classical Nahuatl,flint.,,,high,unreviewed,imported_raw,"[{""form"":""tecpatl"",""tags"":[""plural""],""variety"":""Classical Nahuatl""}]","Equivalent to tetl (“stone”) + icpatl (“top”), (compare icpactli (top), icpalli (high-backed seat)) according to Andrews (2003).",kaikki_unified,,
kw::tecpatl::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tecpatl::sense-2,tecpatl,,tecpatl,,tecpatl,noun,,Classical_citation,Classical Nahuatl,a flint knife,,,high,unreviewed,imported_raw,"[{""form"":""tecpatl"",""tags"":[""plural""],""variety"":""Classical Nahuatl""}]","Equivalent to tetl (“stone”) + icpatl (“top”), (compare icpactli (top), icpalli (high-backed seat)) according to Andrews (2003).",kaikki_unified,,
kw::tecpatl::3,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tecpatl::sense-3,tecpatl,,tecpatl,,tecpatl,noun,,Classical_citation,Classical Nahuatl,"a fint knife motif, especially when worn as an adornment.",,,high,unreviewed,imported_raw,"[{""form"":""tecpatl"",""tags"":[""plural""],""variety"":""Classical Nahuatl""}]","Equivalent to tetl (“stone”) + icpatl (“top”), (compare icpactli (top), icpalli (high-backed seat)) according to Andrews (2003).",kaikki_unified,,
kw::tecpatl::4,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tecpatl::sense-4,tecpatl,,tecpatl,,tecpatl,noun,,Classical_citation,Classical Nahuatl,"the eighteenth day sign of the Aztec tōnalpōhualli, represented by a stylized, red and white lanceolate flint knife.",,,high,unreviewed,imported_raw,"[{""form"":""tecpatl"",""tags"":[""plural""],""variety"":""Classical Nahuatl""}]","Equivalent to tetl (“stone”) + icpatl (“top”), (compare icpactli (top), icpalli (high-backed seat)) according to Andrews (2003).",kaikki_unified,,
kw::tecpatl::5,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tecpatl::sense-5,tecpatl,,tecpatl,,,noun,,Needs_review,Central Nahuatl,Stone knife,,,high,unreviewed,imported_raw,[],"Equivalent to tetl (“stone”) + icpatl (“top”), (compare icpactli (top), icpalli (high-backed seat)) according to Andrews (2003).",kaikki_unified,,
kw::teocuitlatentetl::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::teocuitlatentetl::sense-1,teocuitlatentetl,,teocuitlatentetl,,teocuitlatentetl,noun,,Classical_citation,Classical Nahuatl,Lip plug made of gold.,,,high,unreviewed,imported_raw,"[{""form"":""teōcuitlatēntetl"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""}]",From teōcuitlatl (“gold”) + tēntetl (“lip plug”),kaikki_unified,,
kw::tlahtli::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlahtli::sense-1,tlahtli,,tlahtli,,tlahtli,noun,,Classical_citation,Classical Nahuatl,Uncle.,,,high,unreviewed,imported_raw,"[{""form"":""tlatli"",""tags"":[""alternative""],""variety"":""Classical Nahuatl""}]",,kaikki_unified,,
kw::tlemoyotl::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlemoyotl::sense-1,tlemoyotl,,tlemoyotl,,tlemoyotl,noun,,Classical_citation,Classical Nahuatl,spark,,,high,unreviewed,imported_raw,"[{""form"":""tlemōyōtl"",""tags"":[""canonical""],""variety"":""Classical Nahuatl""}]",From tletl (“fire”) + mōyōtl (“mosquito”).,kaikki_unified,,
kw::vinoh::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::vinoh::sense-1,vinoh,,vinoh,,vinoh,noun,,Classical_citation,Classical Nahuatl,alternative spelling of vino,,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::tzapatl::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tzapatl::sense-1,tzapatl,,tzapatl,,tzapatl,noun,,Classical_citation,Classical Nahuatl,Dwarf.,,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::tzapatl::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tzapatl::sense-2,tzapatl,,tzapatl,,,noun,,Needs_review,Central Nahuatl,dwarf,,,high,unreviewed,imported_raw,[],,kaikki_unified,,
kw::tlohtli::1,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlohtli::sense-1,tlohtli,,tlohtli,,tlohtli,noun,,Classical_citation,Classical Nahuatl,Hawk.,,,high,unreviewed,imported_raw,"[{""form"":""totli"",""tags"":[""alternative""],""variety"":""Classical Nahuatl""},{""form"":""tlotli"",""tags"":[""alternative""],""variety"":""Classical Nahuatl""}]",,kaikki_unified,,
kw::tlohtli::2,Flor y Canto Nahuatl,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlohtli::sense-2,tlohtli,,tlohtli,,,noun,,Needs_review,Central Nahuatl,hawk,,,high,unreviewed,imported_raw,[],,kaikki_unified,,
